year,holdnum,slavenum,sizehold,statefip,stateicp,countyicp,county,urban,city,citypop,metro,metarea,mdstatus,metdist,urbarea,age,gender,norm_race,histid_slave,histid,linkpop,version
1850.0,308248.0,4.0,11.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,50.0,M,B,567a24c9-40bf-4889-96db-0d9ddb4e2687,a54fc21a-41f8-4d6a-b2ee-5a720d842747,1.0,1.0
1850.0,308248.0,5.0,11.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.0,M,B,4c8d0e2c-6f59-4e82-b8cb-7e3f53388e86,a54fc21a-41f8-4d6a-b2ee-5a720d842747,1.0,1.0
1850.0,308248.0,6.0,11.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,27.0,M,B,260769bf-c48a-4b2e-8c6a-fda841c70d64,a54fc21a-41f8-4d6a-b2ee-5a720d842747,1.0,1.0
1850.0,308248.0,7.0,11.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,M,B,07ff1efa-f7c4-4b2e-aafb-4371ca5d2478,a54fc21a-41f8-4d6a-b2ee-5a720d842747,1.0,1.0
1850.0,308248.0,8.0,11.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,M,B,eb681f20-1a19-4d4e-88c8-d26f268bbedb,a54fc21a-41f8-4d6a-b2ee-5a720d842747,1.0,1.0
1850.0,308248.0,9.0,11.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,57.0,F,B,9da59c17-4ef0-48c6-879a-c5b87a9e1fdb,a54fc21a-41f8-4d6a-b2ee-5a720d842747,1.0,1.0
1850.0,308248.0,10.0,11.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,30.0,F,B,1829a307-3cb2-487d-8323-eb82cc86294f,a54fc21a-41f8-4d6a-b2ee-5a720d842747,1.0,1.0
1850.0,308248.0,11.0,11.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,F,B,da8025ad-fd1b-422a-bd3e-b4d56477ee48,a54fc21a-41f8-4d6a-b2ee-5a720d842747,1.0,1.0
1850.0,308249.0,1.0,14.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,65.0,M,B,2adc335f-473c-4bce-bb5f-2bdf6e61adc5,26131b2f-5b87-405f-9da9-37d02ecdcbdb,1.0,1.0
1850.0,308249.0,2.0,14.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,55.0,M,B,dbac76b7-8031-4175-88a8-1dc02e172278,26131b2f-5b87-405f-9da9-37d02ecdcbdb,1.0,1.0
1850.0,308249.0,3.0,14.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,60.0,F,B,aea3a562-a3bc-4c1c-b5f3-8df08dd59530,26131b2f-5b87-405f-9da9-37d02ecdcbdb,1.0,1.0
